load,strain
27.5,2.73
27.6,2.74
27.9,2.74
28.1,2.74
28.2,2.75
28.4,2.75
28.5,2.75
28.8,2.75
28.8,2.75
29.1,2.76
29.1,2.76
29.4,2.76
29.5,2.77
29.7,2.77
29.8,2.77
30,2.77
30.2,2.77
30.4,2.78
30.6,2.78
30.8,2.78
30.9,2.79
31.2,2.79
31.5,2.79
31.5,2.79
31.7,2.8
31.9,2.8
32,2.8
32.2,2.8
32.5,2.81
32.6,2.81
32.7,2.81
32.8,2.82
33.1,2.82
33.2,2.82
33.4,2.82
33.6,2.82
33.8,2.82
33.9,2.83
34.1,2.83
34.3,2.83
34.6,2.84
34.8,2.84
35,2.84
35.2,2.84
35.4,2.84
35.4,2.85
35.7,2.85
35.8,2.85
36,2.85
36.1,2.86
36.4,2.86
36.5,2.86
36.6,2.86
36.9,2.86
37,2.87
37.1,2.87
37.3,2.87
37.5,2.87
37.7,2.88
37.7,2.88
38,2.88
38.2,2.88
38.4,2.88
38.6,2.89
38.7,2.89
38.9,2.89
39,2.89
39.1,2.9
39.3,2.9
39.4,2.9
39.6,2.9
39.8,2.9
39.9,2.91
40.1,2.91
40.3,2.91
40.4,2.91
40.6,2.92
40.8,2.92
40.9,2.92
41.1,2.92
41.3,2.93
41.5,2.93
41.6,2.93
41.8,2.93
41.9,2.93
42,2.93
42.2,2.94
42.4,2.94
42.5,2.94
42.7,2.94
43,2.95
43,2.95
43.2,2.95
43.4,2.95
43.5,2.95
43.7,2.95
43.9,2.96
43.9,2.96
44.2,2.96
44.4,2.96
44.5,2.97
44.6,2.97
44.8,2.97
45,2.97
45.1,2.97
45.3,2.97
45.5,2.97
45.5,2.98
45.7,2.98
45.8,2.98
45.9,2.98
46,2.99
46.2,2.99
46.3,2.99
46.5,2.99
46.7,2.99
46.8,2.99
47,2.99
47.1,2.99
47.3,3
47.4,3
47.7,3
47.8,3
47.9,3.01
48.1,3.01
48.2,3.01
48.3,3.01
48.4,3.02
48.5,3.02
48.6,3.02
48.8,3.02
49,3.02
49.1,3.02
49.2,3.02
49.4,3.02
49.6,3.03
49.6,3.03
49.8,3.03
49.9,3.03
50.1,3.04
50.2,3.04
50.4,3.04
50.4,3.04
50.5,3.04
50.7,3.04
50.8,3.04
51,3.05
51.1,3.05
51.2,3.05
51.4,3.05
51.6,3.05
51.7,3.06
51.8,3.06
52,3.06
52,3.06
52.1,3.06
52.3,3.07
52.4,3.07
52.4,3.07
52.6,3.07
52.7,3.07
52.8,3.07
53,3.08
53.1,3.08
53.2,3.08
53.3,3.08
53.7,3.08
53.7,3.09
53.9,3.09
54,3.09
54,3.09
54.2,3.09
54.3,3.09
54.6,3.09
54.6,3.1
54.7,3.1
54.9,3.1
54.9,3.1
55.1,3.1
55.2,3.11
55.4,3.11
55.5,3.11
55.5,3.11
55.6,3.11
55.7,3.11
55.8,3.12
55.9,3.12
56,3.12
56.2,3.12
56.2,3.12
56.4,3.13
56.5,3.13
56.5,3.13
56.7,3.13
56.8,3.13
56.9,3.13
57,3.13
57.1,3.14
57.2,3.14
57.3,3.14
57.4,3.14
57.5,3.15
57.6,3.15
57.7,3.15
57.8,3.15
57.8,3.15
58,3.15
58.1,3.16
58.2,3.16
58.3,3.16
58.4,3.16
58.6,3.16
58.6,3.17
58.7,3.17
58.9,3.17
59,3.17
59.1,3.17
59.2,3.17
59.3,3.17
59.3,3.18
59.4,3.18
59.5,3.18
59.5,3.18
59.6,3.19
59.7,3.19
59.8,3.19
59.9,3.19
60,3.19
60,3.2
60.2,3.2
60.3,3.2
60.3,3.2
60.4,3.2
60.4,3.2
60.5,3.2
60.7,3.21
60.7,3.21
60.8,3.21
60.9,3.21
61,3.22
61,3.22
61.1,3.22
61.2,3.22
61.3,3.22
61.4,3.22
61.5,3.22
61.6,3.23
61.7,3.23
61.8,3.23
62,3.23
62.1,3.24
62.2,3.24
62.3,3.24
62.4,3.24
62.5,3.24
62.5,3.24
62.5,3.24
62.6,3.25
62.6,3.25
62.7,3.25
62.8,3.25
62.9,3.26
63,3.26
63,3.26
63.1,3.26
63.2,3.27
63.3,3.27
63.4,3.27
63.5,3.27
63.6,3.27
63.6,3.27
63.7,3.28
63.7,3.28
63.7,3.28
63.9,3.28
63.9,3.28
63.9,3.29
64.1,3.29
64.1,3.29
64.3,3.29
64.3,3.29
64.5,3.29
64.5,3.3
64.6,3.3
64.7,3.3
64.8,3.3
64.8,3.3
64.9,3.31
65,3.31
65.1,3.31
65.2,3.31
65.3,3.31
65.4,3.31
65.5,3.32
65.6,3.32
