load,strain
1.2,2.001
1.2,2.005
1.2,2.009
1.2,2.013
1.1,2.017
1.1,2.021
1.2,2.025
1.2,2.03
1.2,2.034
1.1,2.038
1.1,2.042
1.1,2.042
1.1,2.046
1.1,2.05
1.1,2.054
1.1,2.058
1.1,2.062
1.2,2.066
1.1,2.075
1.1,2.079
1.1,2.083
1.1,2.083
1.1,2.087
1.1,2.095
1.2,2.099
1.2,2.103
1.1,2.107
1.1,2.111
1.2,2.115
1.2,2.12
1.2,2.124
1.2,2.128
1.3,2.132
1.2,2.136
1.3,2.14
1.3,2.144
1.2,2.148
1.2,2.152
1.2,2.156
1.3,2.16
1.3,2.165
1.3,2.165
1.4,2.169
1.4,2.173
1.4,2.177
1.5,2.177
1.5,2.181
1.5,2.185
1.5,2.189
1.6,2.193
1.7,2.197
1.7,2.201
1.8,2.205
1.7,2.21
1.8,2.214
1.9,2.218
1.8,2.222
1.9,2.226
1.8,2.23
1.9,2.234
1.9,2.238
2,2.242
2,2.25
1.9,2.255
1.9,2.259
2,2.263
2,2.267
2,2.271
1.9,2.275
2,2.279
2,2.283
2,2.291
2.1,2.295
2.2,2.3
2.2,2.304
2,2.308
2.1,2.312
2,2.316
2,2.32
2,2.324
2,2.328
2.1,2.332
2.1,2.336
2.1,2.341
2.1,2.345
2.1,2.345
2.2,2.349
2.2,2.353
2.2,2.357
2.3,2.361
2.3,2.365
2.3,2.369
2.3,2.373
2.3,2.377
2.4,2.377
2.3,2.386
2.4,2.386
2.3,2.39
2.3,2.394
2.4,2.398
2.3,2.402
2.3,2.406
2.3,2.41
2.4,2.414
2.4,2.418
2.5,2.422
2.5,2.426
2.5,2.431
2.6,2.435
2.6,2.439
2.7,2.443
2.8,2.447
2.7,2.451
2.8,2.455
2.8,2.459
2.8,2.463
2.9,2.467
2.9,2.471
2.9,2.471
3,2.476
3,2.48
3,2.484
2.9,2.488
2.9,2.492
2.9,2.496
3,2.5
3,2.504
3,2.508
3.1,2.508
3.1,2.512
3.1,2.516
3.1,2.521
3.1,2.525
3.1,2.529
3.2,2.533
3.2,2.537
3.2,2.541
