strain,load
6.645,4.1
6.649,4.2
6.653,4.2
6.657,4.4
6.661,4.4
6.661,4.5
6.666,4.5
6.67,4.5
6.674,4.5
6.678,4.6
6.682,4.6
6.686,4.6
6.69,4.6
6.694,4.7
6.694,4.7
6.698,4.8
6.702,4.9
6.706,4.9
6.706,5
6.715,4.9
6.715,4.9
6.719,5
6.723,4.9
6.727,5
6.731,5.1
6.735,5.1
6.735,5.2
6.739,5.4
6.743,5.5
6.747,5.5
6.751,5.5
6.756,5.6
6.76,5.6
6.764,5.6
6.768,5.7
6.772,5.7
6.776,5.8
6.78,5.8
6.784,5.8
6.788,5.9
6.792,5.9
6.792,6
6.796,6.1
6.801,6.1
6.805,6.2
6.809,6.3
6.813,6.3
6.817,6.3
6.821,6.3
6.825,6.4
6.825,6.5
6.829,6.5
6.833,6.6
6.837,6.6
6.841,6.7
6.846,6.7
6.85,6.7
6.854,6.8
6.854,6.9
6.858,6.9
6.862,7
6.866,7
6.87,7
6.87,7
6.874,7.1
6.878,7.2
6.882,7.2
6.886,7.2
6.891,7.2
6.895,7.3
6.899,7.3
6.899,7.4
6.907,7.4
6.907,7.5
6.911,7.5
6.915,7.5
6.919,7.7
6.923,7.7
6.927,7.8
6.932,8
6.936,7.9
6.94,7.9
6.94,8
6.944,8
6.948,8.1
6.952,8.2
6.956,8.3
6.96,8.3
6.964,8.3
6.968,8.4
6.972,8.4
6.972,8.4
6.977,8.4
6.981,8.4
6.985,8.5
6.989,8.5
6.993,8.6
6.997,8.7
7.001,8.8
7.005,9
7.009,9
7.013,9
7.017,9
7.017,9.1
7.022,9.2
7.026,9.2
7.03,9.4
7.034,9.5
7.038,9.5
7.042,9.6
7.046,9.7
7.05,9.8
7.05,9.9
7.054,10
7.058,10.1
7.062,10.2
7.067,10.4
7.071,10.5
7.071,10.5
7.075,10.7
7.079,10.9
7.083,11
7.087,11.1
7.087,11.3
7.091,11.4
7.095,11.5
7.099,11.7
7.103,11.8
7.103,11.9
7.107,12
7.112,12.1
7.116,12.2
7.12,12.3
7.124,12.4
7.128,12.5
7.128,12.6
7.132,12.7
7.136,12.8
7.14,12.9
