load,strain
10.1,7.058
10.2,7.062
10.4,7.067
10.5,7.071
10.5,7.071
10.7,7.075
10.9,7.079
11,7.083
11.1,7.087
11.3,7.087
11.4,7.091
11.5,7.095
11.7,7.099
11.8,7.103
11.9,7.103
12,7.107
12.1,7.112
12.2,7.116
12.3,7.12
12.4,7.124
12.5,7.128
12.6,7.128
12.7,7.132
12.8,7.136
12.9,7.14
12.9,7.144
13,7.148
13,7.152
13.2,7.157
13.3,7.157
13.5,7.161
13.7,7.165
13.9,7.169
13.9,7.173
14.1,7.177
14.2,7.181
14.2,7.185
14.4,7.189
14.6,7.189
14.8,7.197
14.9,7.197
15.2,7.202
15.2,7.206
15.4,7.21
15.5,7.214
15.7,7.218
15.9,7.222
16,7.226
16.1,7.23
16.2,7.234
16.3,7.238
16.5,7.242
16.6,7.247
16.8,7.251
17,7.255
17.1,7.255
17.4,7.259
17.5,7.263
17.6,7.267
17.8,7.271
18,7.275
18.2,7.279
18.3,7.283
18.5,7.283
18.6,7.287
18.7,7.292
18.9,7.296
19,7.3
19.3,7.304
19.3,7.304
19.5,7.308
19.7,7.312
19.9,7.316
20,7.316
20.2,7.32
20.4,7.324
20.5,7.328
20.6,7.332
20.9,7.332
20.9,7.337
21,7.341
21.2,7.345
21.5,7.349
21.6,7.353
21.8,7.357
21.9,7.361
22.1,7.361
22.2,7.365
22.4,7.369
22.6,7.373
22.8,7.378
22.9,7.382
23.1,7.386
23.3,7.386
23.5,7.39
23.6,7.394
23.7,7.398
24,7.402
24,7.406
24.2,7.406
24.4,7.41
24.6,7.414
24.8,7.418
25,7.423
25.2,7.427
25.4,7.431
25.4,7.435
25.7,7.435
25.9,7.439
26.1,7.443
26.2,7.447
26.3,7.451
26.5,7.451
26.6,7.455
26.8,7.459
27,7.463
27.1,7.468
27.3,7.468
27.5,7.472
27.8,7.476
27.9,7.476
28,7.48
28.2,7.484
28.3,7.488
28.4,7.488
28.6,7.492
28.7,7.496
28.9,7.496
29,7.5
29.3,7.504
29.5,7.508
29.6,7.508
29.8,7.513
30,7.517
30.3,7.521
30.4,7.521
30.5,7.525
30.6,7.529
30.8,7.529
30.9,7.533
31.1,7.537
31.2,7.541
31.4,7.541
31.6,7.545
31.8,7.545
31.9,7.549
32.1,7.553
32.2,7.558
32.4,7.558
32.5,7.562
32.7,7.566
32.8,7.566
33.1,7.57
33.2,7.574
33.4,7.578
33.6,7.578
33.8,7.582
33.9,7.582
34.1,7.586
34.2,7.59
34.3,7.59
34.4,7.594
34.7,7.598
34.9,7.598
35,7.603
35.1,7.607
35.3,7.607
35.4,7.611
35.6,7.611
35.7,7.615
35.9,7.619
36,7.623
36.2,7.623
36.4,7.627
36.6,7.631
36.7,7.631
36.9,7.635
37,7.635
37.2,7.639
37.3,7.643
37.4,7.643
37.7,7.648
37.7,7.648
37.9,7.652
38.1,7.656
38.2,7.656
38.3,7.66
38.5,7.66
38.8,7.664
38.8,7.664
38.9,7.668
39.1,7.672
39.1,7.672
39.3,7.676
39.6,7.68
39.7,7.68
39.9,7.684
40.1,7.684
40.2,7.688
40.4,7.693
40.5,7.693
