strain,load
7.001,0.4
7.005,0.4
7.009,0.4
7.013,0.4
7.017,0.4
7.022,0.4
7.026,0.4
7.03,0.3
7.034,0.3
7.038,0.3
7.042,0.3
7.046,0.3
7.05,0.3
7.054,0.4
7.058,0.3
7.062,0.4
7.067,0.4
7.067,0.3
7.075,0.3
7.075,0.3
7.083,0.3
7.087,0.3
7.091,0.4
7.095,0.4
7.099,0.3
7.103,0.3
7.107,0.4
7.112,0.4
7.116,0.4
7.12,0.4
7.124,0.4
7.128,0.3
7.132,0.3
7.136,0.3
7.14,0.3
7.144,0.4
7.148,0.3
7.157,0.2
7.161,0.2
7.165,0.2
7.169,0.3
7.173,0.3
7.177,0.4
7.181,0.4
7.185,0.4
7.189,0.5
7.193,0.4
7.197,0.4
7.202,0.3
7.206,0.3
7.21,0.4
7.214,0.3
7.218,0.3
7.222,0.3
7.226,0.3
7.23,0.3
7.23,0.3
7.238,0.4
7.238,0.3
7.247,0.3
7.247,0.3
7.255,0.3
7.259,0.4
7.259,0.3
7.267,0.3
7.267,0.3
7.275,0.3
7.279,0.3
7.283,0.3
7.287,0.2
7.296,0.2
7.3,0.2
7.304,0.3
7.308,0.3
7.312,0.4
7.32,0.4
7.324,0.4
7.332,0.4
7.337,0.5
7.341,0.5
7.349,0.6
7.353,0.7
7.361,0.8
7.365,0.8
7.369,0.9
7.373,0.9
7.382,0.9
7.386,0.8
7.39,0.9
7.394,0.8
7.402,0.9
7.406,0.9
7.41,1
7.414,1
7.418,1.1
7.423,1
7.427,1.1
7.431,1.1
7.435,1.1
7.443,1.1
7.447,1
7.451,1
7.455,1.1
7.459,1.1
7.463,1.2
7.468,1.2
7.472,1.1
7.476,1.1
7.484,1.1
7.484,1.1
7.492,1.1
7.496,1.1
7.5,1.1
7.504,1.1
7.508,1.1
7.517,1.1
7.521,1.2
7.525,1.1
7.529,1.2
7.537,1.2
7.541,1.2
7.545,1.2
7.549,1.2
7.558,1.2
7.562,1.2
7.566,1.2
7.57,1.2
7.574,1.2
7.582,1.2
7.586,1.2
7.59,1.3
7.594,1.3
7.598,1.3
7.603,1.3
7.607,1.4
7.611,1.4
7.615,1.3
7.619,1.3
7.623,1.3
7.627,1.3
7.631,1.2
7.635,1.2
7.639,1.2
7.643,1.2
7.648,1.2
7.652,1.2
7.656,1.2
7.66,1.2
7.664,1.2
7.668,1.2
