load,strain
0.3,1
0.3,1.01
0.4,1.01
0.4,1.01
0.4,1.01
0.4,1.02
0.3,1.02
0.3,1.03
0.3,1.03
0.3,1.03
0.3,1.03
0.3,1.03
0.4,1.04
0.4,1.04
0.4,1.05
0.3,1.05
0.3,1.05
0.4,1.06
0.3,1.06
0.3,1.06
0.4,1.06
0.3,1.07
0.4,1.07
0.4,1.08
0.4,1.08
0.4,1.08
0.4,1.08
0.4,1.08
0.5,1.09
0.6,1.09
0.6,1.09
0.6,1.1
0.5,1.1
0.6,1.1
0.6,1.11
0.6,1.11
0.6,1.11
0.8,1.11
0.8,1.11
0.8,1.12
0.8,1.12
0.9,1.13
0.8,1.13
0.8,1.13
0.9,1.13
0.9,1.14
0.9,1.14
0.9,1.14
0.9,1.15
1,1.15
1,1.15
1,1.16
1,1.16
1.1,1.16
1.1,1.17
1.2,1.17
1.3,1.17
1.3,1.17
1.2,1.18
1.2,1.18
1.2,1.19
1.2,1.19
1.2,1.2
1.3,1.2
1.3,1.2
1.3,1.2
1.3,1.21
1.3,1.21
1.4,1.22
1.4,1.22
1.4,1.22
1.3,1.23
1.3,1.23
1.4,1.23
1.3,1.24
1.3,1.24
1.4,1.24
1.3,1.24
1.4,1.25
1.3,1.25
1.4,1.26
1.4,1.26
1.4,1.26
1.4,1.26
1.4,1.27
1.4,1.27
1.4,1.28
1.4,1.28
1.4,1.28
1.4,1.29
1.4,1.29
1.4,1.29
1.5,1.3
1.5,1.3
1.5,1.3
1.5,1.31
1.5,1.32
1.5,1.32
1.6,1.32
1.6,1.33
1.6,1.33
1.6,1.34
1.6,1.34
1.6,1.35
1.7,1.35
1.7,1.35
1.8,1.36
1.8,1.36
2,1.37
2,1.37
2,1.38
2,1.38
2,1.38
2,1.39
2.1,1.39
2.1,1.4
2.1,1.4
2.1,1.41
2.1,1.41
2.2,1.42
2.2,1.42
2.3,1.42
2.3,1.43
2.5,1.43
2.5,1.44
2.5,1.44
2.5,1.44
2.6,1.45
2.6,1.45
2.6,1.46
2.6,1.46
2.6,1.47
2.7,1.47
2.7,1.47
2.7,1.48
2.7,1.48
2.7,1.49
2.8,1.49
2.8,1.49
2.8,1.5
2.9,1.5
2.9,1.5
2.9,1.51
2.9,1.51
3,1.51
3.1,1.52
3.1,1.52
3.1,1.53
3.1,1.53
3.2,1.53
3.2,1.54
3.3,1.54
3.3,1.55
3.3,1.55
3.4,1.55
3.5,1.56
3.5,1.56
3.5,1.57
3.6,1.57
3.6,1.58
3.6,1.58
3.6,1.58
3.6,1.58
3.7,1.59
3.7,1.59
3.7,1.6
3.9,1.6
3.9,1.6
3.9,1.61
4,1.61
4,1.62
4.1,1.62
4.1,1.62
4.1,1.62
4.1,1.63
4.1,1.63
4.2,1.64
4.1,1.64
4.2,1.64
4.3,1.64
4.2,1.65
4.3,1.65
4.3,1.66
4.4,1.66
4.4,1.66
4.4,1.66
4.5,1.67
4.5,1.67
4.6,1.67
4.7,1.68
4.7,1.68
4.7,1.69
4.7,1.69
4.8,1.69
4.7,1.69
4.7,1.7
4.8,1.7
4.9,1.71
4.9,1.71
4.9,1.71
5,1.71
5,1.72
5,1.72
5.1,1.73
5.1,1.73
5.2,1.74
5.2,1.74
5.2,1.74
5.4,1.74
5.4,1.75
5.4,1.75
5.4,1.75
5.5,1.75
5.5,1.76
5.5,1.76
5.5,1.77
5.6,1.77
5.6,1.77
5.7,1.78
5.7,1.78
5.7,1.78
5.8,1.79
5.9,1.79
5.9,1.79
6,1.8
6.1,1.8
6.1,1.8
6.1,1.8
6.2,1.81
6.2,1.81
6.2,1.82
6.1,1.82
6.3,1.82
6.3,1.83
6.3,1.83
6.3,1.83
6.3,1.84
6.4,1.84
6.5,1.84
6.6,1.85
6.7,1.85
6.7,1.85
6.7,1.86
6.8,1.86
6.8,1.86
6.9,1.87
6.9,1.87
6.9,1.87
6.9,1.88
7,1.88
7,1.88
7,1.89
7.1,1.89
7.2,1.89
7.3,1.9
7.3,1.9
7.3,1.91
7.4,1.91
7.4,1.91
7.4,1.91
7.4,1.92
