strain,load
0.0190867353800741,0.163441955193491
0.255633501274566,1.018266293279
0.420840766343735,2.72791496945013
0.586048031412904,3.58273930753563
0.794434468034242,6.14721232179227
0.94837760139415,9.10024185336045
1.09293395832967,12.5195392057026
1.29944303966613,18.1147530549898
1.40457493561924,21.9226069246436
1.54913129255476,27.0515529531568
1.71433855762393,33.5015911405295
1.82697987471655,38.1642693482688
1.94149854709404,42.9046588594705
2.17992266827341,56.1932917515275
2.27191307723238,61.3222377800407
2.42773356587716,68.5493890020366
2.51972397483613,73.6783350305499
2.62297851550436,80.1283732179226
2.74688396430624,86.9669679226069
2.85013850497447,92.5621817718941
2.93461949279393,97.6911278004073
3.05852494159581,105.384546843177
3.15051535055478,111.368317209776
3.24438311479862,116.030995417515
3.3682885636005,123.335857942974
3.47154310426873,129.319628309572
3.5635335132277,134.914842158859
3.7099672254481,142.608261201629
3.79257085798268,147.737207230143
3.87517449051727,153.254709775967
4.02911762387718,161.414396639511
4.07041944014447,162.657777494908
4.15302307267905,168.641547861507
4.23562670521364,173.77049389002
4.31823033774822,178.899439918534
4.42336223370133,184.494653767821
4.5153526426603,189.235043279022
4.57730536706124,193.042897148676
4.69182403943873,199.881491853361
4.7838144483977,204.621881364562
4.87768221264154,210.139383910387
4.98093675330977,215.734597759674
5.0522762541351,220.008719450102
5.14614401837894,224.671397657841
5.24939855904717,230.266611507128
5.32261541515737,234.152176680244
5.3939549159827,237.571474032587
5.48782268022654,241.845595723014
5.57981308918551,246.119717413442
5.6624167217201,249.927571283096
5.77693539409759,255.522785132383
5.88018993476582,259.330639002037
5.97405769900967,261.506555498982
6.08669901610228,257.620990325866
6.12800083236957,250.782395621181
6.18056678034613,244.410068737271
6.25190628117145,236.250381873727
6.304472229148,229.878054989817
6.3457740454153,222.96174898167
6.41711354624062,214.413505600815
