strain,stress
1.0,1.2e-13
1.01,1.2e-13
1.01,1.6e-13
1.01,1.6e-13
1.01,1.6e-13
1.02,1.6e-13
1.02,1.2e-13
1.03,1.2e-13
1.03,1.2e-13
1.03,1.2e-13
1.03,1.2e-13
1.03,1.2e-13
1.04,1.6e-13
1.04,1.6e-13
1.05,1.6e-13
1.05,1.2e-13
1.05,1.2e-13
1.06,1.6e-13
1.06,1.2e-13
1.06,1.2e-13
1.06,1.6e-13
1.07,1.2e-13
1.07,1.6e-13
1.08,1.6e-13
1.08,1.6e-13
1.08,1.6e-13
1.08,1.6e-13
1.08,1.6e-13
1.09,1.9999999999999998e-13
1.09,2.4e-13
1.09,2.4e-13
1.1,2.4e-13
1.1,1.9999999999999998e-13
1.1,2.4e-13
1.11,2.4e-13
1.11,2.4e-13
1.11,2.4e-13
1.11,3.2e-13
1.11,3.2e-13
1.12,3.2e-13
1.12,3.2e-13
1.13,3.6e-13
1.13,3.2e-13
1.13,3.2e-13
1.13,3.6e-13
1.14,3.6e-13
1.14,3.6e-13
1.14,3.6e-13
1.15,3.6e-13
1.15,3.9999999999999996e-13
1.15,3.9999999999999996e-13
1.16,3.9999999999999996e-13
1.16,3.9999999999999996e-13
1.16,4.4000000000000004e-13
1.17,4.4000000000000004e-13
1.17,4.8e-13
1.17,5.2e-13
1.17,5.2e-13
1.18,4.8e-13
1.18,4.8e-13
1.19,4.8e-13
1.19,4.8e-13
1.2,4.8e-13
1.2,5.2e-13
1.2,5.2e-13
1.2,5.2e-13
1.21,5.2e-13
1.21,5.2e-13
1.22,5.6e-13
1.22,5.6e-13
1.22,5.6e-13
1.23,5.2e-13
1.23,5.2e-13
1.23,5.6e-13
1.24,5.2e-13
1.24,5.2e-13
1.24,5.6e-13
1.24,5.2e-13
1.25,5.6e-13
1.25,5.2e-13
1.26,5.6e-13
1.26,5.6e-13
1.26,5.6e-13
1.26,5.6e-13
1.27,5.6e-13
1.27,5.6e-13
1.28,5.6e-13
1.28,5.6e-13
1.28,5.6e-13
1.29,5.6e-13
1.29,5.6e-13
1.29,5.6e-13
1.3,6e-13
1.3,6e-13
1.3,6e-13
1.31,6e-13
1.32,6e-13
1.32,6e-13
1.32,6.4e-13
1.33,6.4e-13
1.33,6.4e-13
1.34,6.4e-13
1.34,6.4e-13
1.35,6.4e-13
1.35,6.799999999999999e-13
1.35,6.799999999999999e-13
1.36,7.2e-13
1.36,7.2e-13
1.37,7.999999999999999e-13
1.37,7.999999999999999e-13
1.38,7.999999999999999e-13
1.38,7.999999999999999e-13
1.38,7.999999999999999e-13
1.39,7.999999999999999e-13
1.39,8.4e-13
1.4,8.4e-13
1.4,8.4e-13
1.41,8.4e-13
1.41,8.4e-13
1.42,8.800000000000001e-13
1.42,8.800000000000001e-13
1.42,9.2e-13
1.43,9.2e-13
1.43,1e-12
1.44,1e-12
1.44,1e-12
1.44,1e-12
1.45,1.04e-12
1.45,1.04e-12
1.46,1.04e-12
1.46,1.04e-12
1.47,1.04e-12
1.47,1.08e-12
1.47,1.08e-12
1.48,1.08e-12
1.48,1.08e-12
1.49,1.08e-12
1.49,1.12e-12
1.49,1.12e-12
1.5,1.12e-12
1.5,1.16e-12
1.5,1.16e-12
1.51,1.16e-12
1.51,1.16e-12
1.51,1.2e-12
1.52,1.24e-12
1.52,1.24e-12
1.53,1.24e-12
1.53,1.24e-12
1.53,1.28e-12
1.54,1.28e-12
1.54,1.32e-12
1.55,1.32e-12
1.55,1.32e-12
1.55,1.3599999999999999e-12
1.56,1.3999999999999999e-12
1.56,1.3999999999999999e-12
1.57,1.3999999999999999e-12
1.57,1.44e-12
1.58,1.44e-12
1.58,1.44e-12
1.58,1.44e-12
1.58,1.44e-12
1.59,1.48e-12
1.59,1.48e-12
1.6,1.48e-12
1.6,1.56e-12
1.6,1.56e-12
1.61,1.56e-12
1.61,1.5999999999999998e-12
1.62,1.5999999999999998e-12
1.62,1.6399999999999999e-12
1.62,1.6399999999999999e-12
1.62,1.6399999999999999e-12
1.63,1.6399999999999999e-12
1.63,1.6399999999999999e-12
1.64,1.68e-12
1.64,1.6399999999999999e-12
1.64,1.68e-12
1.64,1.7200000000000001e-12
1.65,1.68e-12
1.65,1.7200000000000001e-12
1.66,1.7200000000000001e-12
1.66,1.7600000000000002e-12
1.66,1.7600000000000002e-12
1.66,1.7600000000000002e-12
1.67,1.8e-12
1.67,1.8e-12
1.67,1.84e-12
1.68,1.88e-12
1.68,1.88e-12
1.69,1.88e-12
1.69,1.88e-12
1.69,1.92e-12
1.69,1.88e-12
1.7,1.88e-12
1.7,1.92e-12
1.71,1.9599999999999997e-12
1.71,1.9599999999999997e-12
1.71,1.9599999999999997e-12
1.71,2e-12
1.72,2e-12
1.72,2e-12
1.73,2.0399999999999998e-12
1.73,2.0399999999999998e-12
1.74,2.08e-12
1.74,2.08e-12
1.74,2.08e-12
1.74,2.16e-12
1.75,2.16e-12
1.75,2.16e-12
1.75,2.16e-12
1.75,2.2e-12
1.76,2.2e-12
1.76,2.2e-12
1.77,2.2e-12
1.77,2.24e-12
1.77,2.24e-12
1.78,2.2800000000000004e-12
1.78,2.2800000000000004e-12
1.78,2.2800000000000004e-12
1.79,2.32e-12
1.79,2.36e-12
1.79,2.36e-12
1.8,2.4e-12
1.8,2.44e-12
1.8,2.44e-12
1.8,2.44e-12
1.81,2.48e-12
1.81,2.48e-12
1.82,2.48e-12
1.82,2.44e-12
1.82,2.52e-12
1.83,2.52e-12
1.83,2.52e-12
1.83,2.52e-12
1.84,2.52e-12
1.84,2.56e-12
1.84,2.6000000000000002e-12
1.85,2.64e-12
1.85,2.6800000000000003e-12
1.85,2.6800000000000003e-12
1.86,2.6800000000000003e-12
1.86,2.7199999999999997e-12
1.86,2.7199999999999997e-12
1.87,2.76e-12
1.87,2.76e-12
1.87,2.76e-12
1.88,2.76e-12
1.88,2.7999999999999998e-12
1.88,2.7999999999999998e-12
1.89,2.7999999999999998e-12
1.89,2.84e-12
1.89,2.88e-12
1.9,2.92e-12
1.9,2.92e-12
1.91,2.92e-12
1.91,2.96e-12
1.91,2.96e-12
1.91,2.96e-12
1.92,2.96e-12
1.92,2.96e-12
1.93,2.96e-12
1.93,3e-12
1.93,3.04e-12
1.93,3.04e-12
1.94,3.0800000000000002e-12
1.94,3.12e-12
1.94,3.12e-12
1.95,3.12e-12
1.95,3.16e-12
1.96,3.12e-12
1.96,3.16e-12
1.96,3.16e-12
1.96,3.16e-12
1.97,3.1999999999999997e-12
1.97,3.24e-12
1.98,3.2799999999999998e-12
1.98,3.2799999999999998e-12
1.98,3.32e-12
1.99,3.32e-12
1.99,3.36e-12
1.99,3.4e-12
2.0,3.4400000000000003e-12
2.0,3.48e-12
2.01,3.4400000000000003e-12
2.01,3.48e-12
2.01,3.5200000000000003e-12
2.02,3.5599999999999998e-12
2.02,3.5599999999999998e-12
2.02,3.6e-12
2.03,3.64e-12
2.03,3.64e-12
2.04,3.64e-12
2.04,3.68e-12
2.05,3.68e-12
2.05,3.72e-12
2.05,3.76e-12
2.06,3.8e-12
2.06,3.8e-12
2.07,3.8e-12
2.07,3.8e-12
2.08,3.8e-12
2.08,3.8e-12
2.08,3.8e-12
2.09,3.8e-12
2.09,3.8800000000000004e-12
2.1,3.8800000000000004e-12
2.1,3.9199999999999995e-12
2.1,3.96e-12
2.11,3.96e-12
2.11,3.96e-12
2.12,3.96e-12
2.12,4e-12
2.12,4e-12
2.13,4.0799999999999996e-12
2.13,4.0799999999999996e-12
2.13,4.16e-12
2.14,4.2e-12
2.14,4.24e-12
2.14,4.24e-12
2.15,4.32e-12
2.15,4.32e-12
2.16,4.36e-12
2.16,4.36e-12
2.16,4.4e-12
2.16,4.48e-12
2.17,4.52e-12
2.17,4.560000000000001e-12
2.18,4.64e-12
2.18,4.64e-12
2.18,4.68e-12
2.18,4.68e-12
2.19,4.72e-12
2.19,4.8e-12
2.2,4.88e-12
2.2,4.92e-12
2.2,4.92e-12
2.21,5.0000000000000005e-12
2.21,5.0000000000000005e-12
2.22,5.079999999999999e-12
2.22,5.079999999999999e-12
2.23,5.12e-12
2.23,5.16e-12
2.23,5.2000000000000005e-12
2.23,5.2000000000000005e-12
2.24,5.28e-12
2.24,5.32e-12
2.25,5.4e-12
2.25,5.4e-12
2.26,5.48e-12
2.26,5.56e-12
2.26,5.5999999999999996e-12
2.27,5.5999999999999996e-12
2.27,5.68e-12
2.28,5.720000000000001e-12
2.28,5.76e-12
2.28,5.76e-12
2.29,5.84e-12
2.29,5.88e-12
2.3,6e-12
2.3,6.04e-12
2.3,6.04e-12
2.3,6.12e-12
2.31,6.2e-12
2.31,6.24e-12
2.32,6.24e-12
2.32,6.32e-12
2.32,6.32e-12
2.33,6.440000000000001e-12
2.33,6.440000000000001e-12
2.34,6.48e-12
2.34,6.5599999999999995e-12
2.34,6.64e-12
2.35,6.64e-12
2.35,6.72e-12
2.35,6.7599999999999995e-12
2.36,6.84e-12
2.36,6.8800000000000006e-12
2.36,6.96e-12
2.37,7e-12
2.37,7.08e-12
2.37,7.08e-12
2.38,7.16e-12
2.38,7.2e-12
2.39,7.24e-12
2.39,7.24e-12
2.39,7.28e-12
2.39,7.32e-12
2.4,7.44e-12
2.4,7.52e-12
2.4,7.52e-12
2.41,7.6e-12
2.41,7.68e-12
2.41,7.72e-12
2.42,7.760000000000001e-12
2.42,7.839999999999999e-12
2.42,7.880000000000001e-12
2.43,7.92e-12
2.43,7.960000000000001e-12
2.43,8e-12
2.44,8.039999999999999e-12
2.44,8.159999999999999e-12
2.44,8.2e-12
2.45,8.280000000000001e-12
2.45,8.359999999999999e-12
2.45,8.44e-12
2.45,8.48e-12
2.46,8.559999999999999e-12
2.46,8.600000000000001e-12
2.47,8.68e-12
2.47,8.72e-12
2.47,8.8e-12
2.48,8.8e-12
2.48,8.92e-12
2.48,8.96e-12
2.48,9e-12
2.49,9.08e-12
2.49,9.120000000000002e-12
2.5,9.2e-12
2.5,9.2e-12
2.5,9.28e-12
2.5,9.32e-12
2.51,9.4e-12
2.51,9.48e-12
2.52,9.52e-12
2.52,9.6e-12
2.52,9.68e-12
2.53,9.68e-12
2.53,9.76e-12
2.53,9.8e-12
2.53,9.88e-12
2.54,9.88e-12
2.54,9.959999999999999e-12
2.55,1.004e-11
2.55,1.012e-11
2.55,1.0159999999999999e-11
2.55,1.024e-11
2.56,1.028e-11
2.56,1.032e-11
2.57,1.0400000000000001e-11
2.57,1.044e-11
2.57,1.0479999999999999e-11
2.57,1.056e-11
2.58,1.0600000000000001e-11
2.58,1.064e-11
2.59,1.0720000000000001e-11
2.59,1.076e-11
2.59,1.084e-11
2.59,1.084e-11
2.6,1.0920000000000001e-11
2.6,1.0999999999999999e-11
2.61,1.104e-11
2.61,1.108e-11
2.61,1.1199999999999999e-11
2.62,1.1199999999999999e-11
2.62,1.132e-11
2.62,1.136e-11
2.62,1.1440000000000001e-11
2.63,1.148e-11
2.63,1.156e-11
2.63,1.16e-11
2.64,1.164e-11
2.64,1.168e-11
2.64,1.172e-11
2.65,1.18e-11
2.65,1.188e-11
2.66,1.192e-11
2.66,1.2e-11
2.66,1.204e-11
2.66,1.208e-11
2.67,1.22e-11
2.67,1.224e-11
2.67,1.2279999999999999e-11
2.68,1.2279999999999999e-11
2.68,1.24e-11
2.68,1.244e-11
2.68,1.252e-11
2.69,1.256e-11
2.69,1.264e-11
2.7,1.268e-11
2.7,1.276e-11
2.7,1.2799999999999999e-11
2.7,1.2880000000000002e-11
2.71,1.2919999999999999e-11
2.71,1.2999999999999999e-11
2.71,1.2999999999999999e-11
2.72,1.3119999999999999e-11
2.72,1.316e-11
2.72,1.3240000000000001e-11
2.72,1.328e-11
2.73,1.3360000000000001e-11
2.73,1.344e-11
2.73,1.348e-11
2.74,1.3560000000000001e-11
