strain,stress
0.002,1.2e-13
0.00202,1.2e-13
0.00202,1.6e-13
0.00202,1.6e-13
0.00202,1.6e-13
0.00204,1.6e-13
0.00204,1.2e-13
0.00206,1.2e-13
0.00206,1.2e-13
0.00206,1.2e-13
0.00206,1.2e-13
0.00206,1.2e-13
0.00208,1.6e-13
0.00208,1.6e-13
0.0021000000000000003,1.6e-13
0.0021000000000000003,1.2e-13
0.0021000000000000003,1.2e-13
0.00212,1.6e-13
0.00212,1.2e-13
0.00212,1.2e-13
0.00212,1.6e-13
0.0021400000000000004,1.2e-13
0.0021400000000000004,1.6e-13
0.00216,1.6e-13
0.00216,1.6e-13
0.00216,1.6e-13
0.00216,1.6e-13
0.00216,1.6e-13
0.00218,1.9999999999999998e-13
0.00218,2.4e-13
0.00218,2.4e-13
0.0022,2.4e-13
0.0022,1.9999999999999998e-13
0.0022,2.4e-13
0.00222,2.4e-13
0.00222,2.4e-13
0.00222,2.4e-13
0.00222,3.2e-13
0.00222,3.2e-13
0.0022400000000000002,3.2e-13
0.0022400000000000002,3.2e-13
0.00226,3.6e-13
0.00226,3.2e-13
0.00226,3.2e-13
0.00226,3.6e-13
0.00228,3.6e-13
0.00228,3.6e-13
0.00228,3.6e-13
0.0023,3.6e-13
0.0023,3.9999999999999996e-13
0.0023,3.9999999999999996e-13
0.00232,3.9999999999999996e-13
0.00232,3.9999999999999996e-13
0.00232,4.4000000000000004e-13
0.0023399999999999996,4.4000000000000004e-13
0.0023399999999999996,4.8e-13
0.0023399999999999996,5.2e-13
0.0023399999999999996,5.2e-13
0.00236,4.8e-13
0.00236,4.8e-13
0.0023799999999999997,4.8e-13
0.0023799999999999997,4.8e-13
0.0024000000000000002,4.8e-13
0.0024000000000000002,5.2e-13
0.0024000000000000002,5.2e-13
0.0024000000000000002,5.2e-13
0.00242,5.2e-13
0.00242,5.2e-13
0.00244,5.6e-13
0.00244,5.6e-13
0.00244,5.6e-13
0.00246,5.2e-13
0.00246,5.2e-13
0.00246,5.6e-13
0.00248,5.2e-13
0.00248,5.2e-13
0.00248,5.6e-13
0.00248,5.2e-13
0.0025,5.6e-13
0.0025,5.2e-13
0.00252,5.6e-13
0.00252,5.6e-13
0.00252,5.6e-13
0.00252,5.6e-13
0.0025399999999999997,5.6e-13
0.0025399999999999997,5.6e-13
0.00256,5.6e-13
0.00256,5.6e-13
0.00256,5.6e-13
0.00258,5.6e-13
0.00258,5.6e-13
0.00258,5.6e-13
0.0026000000000000003,6e-13
0.0026000000000000003,6e-13
0.0026000000000000003,6e-13
0.00262,6e-13
0.00264,6e-13
0.00264,6e-13
0.00264,6.4e-13
0.00266,6.4e-13
0.00266,6.4e-13
0.00268,6.4e-13
0.00268,6.4e-13
0.0027,6.4e-13
0.0027,6.799999999999999e-13
0.0027,6.799999999999999e-13
0.00272,7.2e-13
0.00272,7.2e-13
0.0027400000000000002,7.999999999999999e-13
0.0027400000000000002,7.999999999999999e-13
0.00276,7.999999999999999e-13
0.00276,7.999999999999999e-13
0.00276,7.999999999999999e-13
0.00278,7.999999999999999e-13
0.00278,8.4e-13
0.0027999999999999995,8.4e-13
0.0027999999999999995,8.4e-13
0.00282,8.4e-13
0.00282,8.4e-13
0.0028399999999999996,8.800000000000001e-13
0.0028399999999999996,8.800000000000001e-13
0.0028399999999999996,9.2e-13
0.00286,9.2e-13
0.00286,1e-12
0.0028799999999999997,1e-12
0.0028799999999999997,1e-12
0.0028799999999999997,1e-12
0.0029,1.04e-12
0.0029,1.04e-12
0.00292,1.04e-12
0.00292,1.04e-12
0.00294,1.04e-12
0.00294,1.08e-12
0.00294,1.08e-12
0.00296,1.08e-12
0.00296,1.08e-12
0.00298,1.08e-12
0.00298,1.12e-12
0.00298,1.12e-12
0.003,1.12e-12
0.003,1.16e-12
0.003,1.16e-12
0.00302,1.16e-12
0.00302,1.16e-12
0.00302,1.2e-12
0.00304,1.24e-12
0.00304,1.24e-12
0.0030600000000000002,1.24e-12
0.0030600000000000002,1.24e-12
0.0030600000000000002,1.28e-12
0.0030800000000000003,1.28e-12
0.0030800000000000003,1.32e-12
0.0031,1.32e-12
0.0031,1.32e-12
0.0031,1.3599999999999999e-12
0.0031200000000000004,1.3999999999999999e-12
0.0031200000000000004,1.3999999999999999e-12
0.0031400000000000004,1.3999999999999999e-12
0.0031400000000000004,1.44e-12
0.0031600000000000005,1.44e-12
0.0031600000000000005,1.44e-12
0.0031600000000000005,1.44e-12
0.0031600000000000005,1.44e-12
0.00318,1.48e-12
0.00318,1.48e-12
0.0032,1.48e-12
0.0032,1.56e-12
0.0032,1.56e-12
0.0032199999999999998,1.56e-12
0.0032199999999999998,1.5999999999999998e-12
0.0032400000000000007,1.5999999999999998e-12
0.0032400000000000007,1.6399999999999999e-12
0.0032400000000000007,1.6399999999999999e-12
0.0032400000000000007,1.6399999999999999e-12
0.00326,1.6399999999999999e-12
0.00326,1.6399999999999999e-12
0.0032799999999999995,1.68e-12
0.0032799999999999995,1.6399999999999999e-12
0.0032799999999999995,1.68e-12
0.0032799999999999995,1.7200000000000001e-12
0.0033,1.68e-12
0.0033,1.7200000000000001e-12
0.00332,1.7200000000000001e-12
0.00332,1.7600000000000002e-12
0.00332,1.7600000000000002e-12
0.00332,1.7600000000000002e-12
0.00334,1.8e-12
0.00334,1.8e-12
0.00334,1.84e-12
0.0033599999999999997,1.88e-12
0.0033599999999999997,1.88e-12
0.0033799999999999998,1.88e-12
0.0033799999999999998,1.88e-12
0.0033799999999999998,1.92e-12
0.0033799999999999998,1.88e-12
0.0034000000000000002,1.88e-12
0.0034000000000000002,1.92e-12
0.0034200000000000003,1.9599999999999997e-12
0.0034200000000000003,1.9599999999999997e-12
0.0034200000000000003,1.9599999999999997e-12
0.0034200000000000003,2e-12
0.00344,2e-12
0.00344,2e-12
0.00346,2.0399999999999998e-12
0.00346,2.0399999999999998e-12
0.0034799999999999996,2.08e-12
0.0034799999999999996,2.08e-12
0.0034799999999999996,2.08e-12
0.0034799999999999996,2.16e-12
0.0035000000000000005,2.16e-12
0.0035000000000000005,2.16e-12
0.0035000000000000005,2.16e-12
0.0035000000000000005,2.2e-12
0.00352,2.2e-12
0.00352,2.2e-12
0.00354,2.2e-12
0.00354,2.24e-12
0.00354,2.24e-12
0.00356,2.2800000000000004e-12
0.00356,2.2800000000000004e-12
0.00356,2.2800000000000004e-12
0.00358,2.32e-12
0.00358,2.36e-12
0.00358,2.36e-12
0.0036000000000000003,2.4e-12
0.0036000000000000003,2.44e-12
0.0036000000000000003,2.44e-12
0.0036000000000000003,2.44e-12
0.0036200000000000004,2.48e-12
0.0036200000000000004,2.48e-12
0.00364,2.48e-12
0.00364,2.44e-12
0.00364,2.52e-12
0.00366,2.52e-12
0.00366,2.52e-12
0.00366,2.52e-12
0.00368,2.52e-12
0.00368,2.56e-12
0.00368,2.6000000000000002e-12
0.0037000000000000006,2.64e-12
0.0037000000000000006,2.6800000000000003e-12
0.0037000000000000006,2.6800000000000003e-12
0.00372,2.6800000000000003e-12
0.00372,2.7199999999999997e-12
0.00372,2.7199999999999997e-12
0.0037400000000000003,2.76e-12
0.0037400000000000003,2.76e-12
0.0037400000000000003,2.76e-12
0.0037599999999999995,2.76e-12
0.0037599999999999995,2.7999999999999998e-12
0.0037599999999999995,2.7999999999999998e-12
0.00378,2.7999999999999998e-12
0.00378,2.84e-12
0.00378,2.88e-12
0.0038,2.92e-12
0.0038,2.92e-12
0.0038199999999999996,2.92e-12
0.0038199999999999996,2.96e-12
0.0038199999999999996,2.96e-12
0.0038199999999999996,2.96e-12
0.0038399999999999997,2.96e-12
0.0038399999999999997,2.96e-12
0.0038599999999999997,2.96e-12
0.0038599999999999997,3e-12
0.0038599999999999997,3.04e-12
0.0038599999999999997,3.04e-12
0.00388,3.0800000000000002e-12
0.00388,3.12e-12
0.00388,3.12e-12
0.0039,3.12e-12
0.0039,3.16e-12
0.00392,3.12e-12
0.00392,3.16e-12
0.00392,3.16e-12
0.00392,3.16e-12
0.00394,3.1999999999999997e-12
0.00394,3.24e-12
0.00396,3.2799999999999998e-12
